id_tramo;lat1;lon1;lat2;lon2;vel_max
107;42.6121038;-5.5875213;42.6121382;-5.5874498;50
108;42.6121382;-5.5874498;42.61218;-5.5874091;50
109;42.61218;-5.5874091;42.6122301;-5.587375;50
110;42.6122301;-5.587375;42.6122733;-5.5873694;50
111;42.6122733;-5.5873694;42.6123213;-5.5873769;50
112;42.6123213;-5.5873769;42.6123669;-5.5873986;50
113;42.6123669;-5.5873986;42.6123997;-5.5874298;50
114;42.6123997;-5.5874298;42.612428;-5.5874705;50
115;42.612428;-5.5874705;42.6124392;-5.5874976;50
116;42.6124392;-5.5874976;42.6124603;-5.5875561;50
117;42.6124603;-5.5875561;42.6124672;-5.5876255;50
118;42.6124672;-5.5876255;42.6124612;-5.5876935;50
119;42.6139767;-5.589616;42.6138991;-5.589552;30
120;42.6138991;-5.589552;42.6136662;-5.5893127;30
121;42.6139767;-5.589616;42.6139962;-5.5895597;30
122;42.6139962;-5.5895597;42.6140245;-5.5895175;30
123;42.6140245;-5.5895175;42.6140597;-5.5894798;30
124;42.6140597;-5.5894798;42.614112;-5.5894556;30
125;42.614112;-5.5894556;42.6141392;-5.5894497;30
126;42.6141392;-5.5894497;42.6141673;-5.5894523;30
127;42.6141673;-5.5894523;42.6141977;-5.5894579;30
128;42.6141977;-5.5894579;42.6142281;-5.5894714;30
129;42.6142281;-5.5894714;42.6142504;-5.5894992;30
130;42.6142504;-5.5894992;42.6142727;-5.5895306;30
131;42.6142727;-5.5895306;42.6142904;-5.5895634;30
132;42.6142904;-5.5895634;42.6143044;-5.5895974;30
133;42.6143044;-5.5895974;42.6143132;-5.5896373;30
134;42.6143132;-5.5896373;42.6143185;-5.5896808;30
135;42.6143185;-5.5896808;42.6143163;-5.5897244;30
136;42.6143163;-5.5897244;42.6143096;-5.589768;30
137;42.6143096;-5.589768;42.6142915;-5.5898126;30
138;42.6142915;-5.5898126;42.6142708;-5.5898487;30
139;42.6130181;-5.5884011;42.613195;-5.5885767;30
140;42.613195;-5.5885767;42.613481;-5.5888786;30
141;42.6084607;-5.5855533;42.6083823;-5.5855454;30
142;42.6083823;-5.5855454;42.608309;-5.5855068;30
143;42.608309;-5.5855068;42.6082425;-5.5854361;30
144;42.6082425;-5.5854361;42.6082049;-5.5853606;30
145;42.6082049;-5.5853606;42.60818;-5.5852677;30
146;42.60818;-5.5852677;42.6081745;-5.5851692;30
147;42.6081745;-5.5851692;42.6081818;-5.5851047;30
148;42.6081818;-5.5851047;42.6081974;-5.585043;30
149;42.6081974;-5.585043;42.6080703;-5.5848088;30
150;42.6080703;-5.5848088;42.6075609;-5.5844818;30
151;42.6081974;-5.585043;42.6082479;-5.5849408;30
152;42.6082479;-5.5849408;42.6083207;-5.5848675;30
153;42.6083207;-5.5848675;42.6084074;-5.5848314;30
154;42.6087077;-5.5852144;42.6086956;-5.5853016;30
155;42.6021218;-5.579986;42.6020687;-5.5799776;30
156;42.6022679;-5.5799235;42.6022225;-5.5799586;30
157;42.6022225;-5.5799586;42.6021728;-5.5799783;30
158;42.6021728;-5.5799783;42.6021218;-5.579986;30
159;42.6043449;-5.5801389;42.6043707;-5.5801225;30
160;42.6043707;-5.5801225;42.6044139;-5.5801057;30
161;42.6044139;-5.5801057;42.6044588;-5.5801031;30
162;42.6042526;-5.5803328;42.6041392;-5.5802429;30
163;42.6041392;-5.5802429;42.6038456;-5.5800441;30
164;42.6038456;-5.5800441;42.6036501;-5.5799704;30
165;42.6036501;-5.5799704;42.6034375;-5.5799075;30
166;42.6034375;-5.5799075;42.603109;-5.579854;30
167;42.603109;-5.579854;42.6028572;-5.5798497;30
168;42.6028572;-5.5798497;42.6026763;-5.5798739;30
169;42.6026763;-5.5798739;42.602629;-5.5798802;30
170;42.602629;-5.5798802;42.6024353;-5.5799167;30
171;42.6024353;-5.5799167;42.6023915;-5.5799259;30
172;42.6023915;-5.5799259;42.6023161;-5.5799361;30
173;42.6023161;-5.5799361;42.6022679;-5.5799235;30
174;42.6042526;-5.5803328;42.60427;-5.5802567;30
175;42.60427;-5.5802567;42.6042957;-5.5801992;30
176;42.6042957;-5.5801992;42.6043449;-5.5801389;30
177;42.6045264;-5.5801306;42.6045697;-5.5801659;30
178;42.6045697;-5.5801659;42.604608;-5.580228;30
179;42.604608;-5.580228;42.6046304;-5.5803031;30
180;42.6046304;-5.5803031;42.6046346;-5.5803839;30
181;42.6046346;-5.5803839;42.604702;-5.5804848;30
182;42.6046346;-5.5803839;42.6046227;-5.5804542;30
183;42.6046227;-5.5804542;42.6045971;-5.5805174;30
184;42.6045971;-5.5805174;42.6045684;-5.5805596;30
185;42.6045684;-5.5805596;42.6045277;-5.5805997;30
186;42.6045068;-5.5806067;42.6044594;-5.5806206;30
187;42.6044594;-5.5806206;42.6044087;-5.5806163;30
188;42.6044087;-5.5806163;42.604366;-5.5805949;30
189;42.6094854;-5.5862046;42.609184;-5.5860255;30
190;42.6094854;-5.5862046;42.6093757;-5.5862503;30
191;42.6093757;-5.5862503;42.6092892;-5.586362;30
192;42.6045277;-5.5805997;42.6045068;-5.5806067;30
193;42.6030097;-5.5796372;42.603117;-5.5796393;30
194;42.603117;-5.5796393;42.6032931;-5.5796477;30
195;42.6030097;-5.5796372;42.6031228;-5.5795563;30
196;42.6031228;-5.5795563;42.6031644;-5.5795067;30
197;42.6031644;-5.5795067;42.6031849;-5.5794422;30
198;42.6070242;-5.5839343;42.607248;-5.5840756;30
199;42.607248;-5.5840756;42.607351;-5.5841392;30
200;42.607351;-5.5841392;42.607665;-5.5843331;30
201;42.6102537;-5.5860679;42.6104376;-5.5861133;30
202;42.6104376;-5.5861133;42.6105163;-5.5861438;30
203;42.6105163;-5.5861438;42.6106001;-5.5861821;30
204;42.6102537;-5.5860679;42.6103872;-5.5860003;30
205;42.6103872;-5.5860003;42.6104542;-5.5859186;30
206;42.6104542;-5.5859186;42.6105091;-5.5858186;30
207;42.604366;-5.5805949;42.6043175;-5.5805552;30
208;42.6043175;-5.5805552;42.6042779;-5.5804882;30
209;42.6042779;-5.5804882;42.6042566;-5.5804073;30
210;42.6042566;-5.5804073;42.6042526;-5.5803328;30
211;42.5911475;-5.5684902;42.5911396;-5.5686988;30
212;42.5911396;-5.5686988;42.5911367;-5.5688178;30
213;42.5911367;-5.5688178;42.5911281;-5.5691658;30
214;42.5911281;-5.5691658;42.5911146;-5.5697791;30
215;42.5911146;-5.5697791;42.5910875;-5.5710696;30
216;42.5910875;-5.5710696;42.5910827;-5.5712847;30
217;42.5910957;-5.5644626;42.5911344;-5.5644993;30
218;42.5911344;-5.5644993;42.591177;-5.5645571;30
219;42.591177;-5.5645571;42.591204;-5.5646239;30
220;42.5910957;-5.5644626;42.5911914;-5.5644193;30
221;42.5911914;-5.5644193;42.59124;-5.5643767;30
222;42.59124;-5.5643767;42.5912735;-5.5642984;30
223;42.5912735;-5.5642984;42.5911027;-5.5640473;30
224;42.5910269;-5.5639388;42.5909838;-5.5637715;30
225;42.5909838;-5.5637715;42.5909781;-5.5637485;30
226;42.5909781;-5.5637485;42.5909668;-5.5636141;30
227;42.5909668;-5.5636141;42.5909626;-5.5635175;30
228;42.5909626;-5.5635175;42.5909637;-5.563411;30
229;42.5909637;-5.563411;42.5909768;-5.5633102;30
230;42.5909768;-5.5633102;42.5910061;-5.5632181;30
231;42.5909781;-5.5637485;42.5909468;-5.5635759;50
232;42.5909468;-5.5635759;42.5909352;-5.5634305;50
233;42.5909352;-5.5634305;42.5909411;-5.5633003;50
234;42.5909411;-5.5633003;42.5909366;-5.5632181;50
235;42.5910426;-5.5631037;42.5912236;-5.5629267;30
236;42.5910426;-5.5631037;42.5910669;-5.5631684;30
237;42.5910669;-5.5631684;42.5911104;-5.5632542;30
238;42.593021;-5.5683161;42.5931233;-5.5685777;30
239;42.5931233;-5.5685777;42.593432;-5.569384;30
240;42.593432;-5.569384;42.593732;-5.5701742;30
241;42.593732;-5.5701742;42.5937468;-5.5702131;30
242;42.5937468;-5.5702131;42.5937784;-5.5702846;30
243;42.5937784;-5.5702846;42.5937914;-5.5703139;30
244;42.593021;-5.5683161;42.5929493;-5.5681324;30
245;42.5929493;-5.5681324;42.5928956;-5.567982;30
246;42.5928956;-5.567982;42.5928885;-5.5679626;30
247;42.5928885;-5.5679626;42.5928158;-5.5677627;30
248;42.5928158;-5.5677627;42.592781;-5.5676673;30
249;42.592781;-5.5676673;42.5925605;-5.5670633;30
250;42.5911676;-5.5672802;42.5911643;-5.5674581;30
251;42.5911643;-5.5674581;42.5911504;-5.5682911;30
252;42.5911504;-5.5682911;42.5911475;-5.5684902;30
253;42.5913683;-5.5644329;42.5912735;-5.5642984;30
254;42.5913683;-5.5644329;42.5912973;-5.5644799;30
255;42.5912973;-5.5644799;42.5912124;-5.5645746;30
256;42.5912124;-5.5645746;42.591204;-5.5646239;30
257;42.591204;-5.5646239;42.591192;-5.5652312;30
258;42.591192;-5.5652312;42.5911926;-5.5653462;30
259;42.5910827;-5.5712847;42.5915231;-5.5711976;30
260;42.5920166;-5.5656101;42.5919726;-5.5654881;30
261;42.5920166;-5.5656101;42.5920297;-5.5656479;30
262;42.5920297;-5.5656479;42.5921795;-5.5660485;30
263;42.5921795;-5.5660485;42.5922522;-5.5662504;30
264;42.5920166;-5.5656101;42.5919068;-5.5656035;30
265;42.5919068;-5.5656035;42.5914649;-5.5655847;30
266;42.5914649;-5.5655847;42.5913054;-5.5655779;30
267;42.5913054;-5.5655779;42.5911942;-5.5655723;30
268;42.5911942;-5.5655723;42.591193;-5.5656888;30
269;42.591193;-5.5656888;42.59119;-5.5658761;30
270;42.59119;-5.5658761;42.5911808;-5.5664431;30
271;42.5911808;-5.5664431;42.5911686;-5.5671176;30
272;42.5911686;-5.5671176;42.5911676;-5.5672802;30
273;42.5911926;-5.5653462;42.5913047;-5.5653482;30
274;42.5913047;-5.5653482;42.591767;-5.5653712;30
275;42.591767;-5.5653712;42.5918252;-5.5653718;30
276;42.5918252;-5.5653718;42.5919399;-5.5653973;30
277;42.5911926;-5.5653462;42.5911924;-5.5654606;30
278;42.5911924;-5.5654606;42.5911942;-5.5655723;30
279;42.6044588;-5.5801031;42.6045264;-5.5801306;30
280;42.6046879;-5.5781333;42.6046816;-5.5780705;30
281;42.6046816;-5.5780705;42.6046528;-5.5777521;30
282;42.6046528;-5.5777521;42.6046461;-5.577696;30
283;42.6046461;-5.577696;42.6046247;-5.5775683;30
284;42.6046879;-5.5781333;42.604723;-5.5780294;30
285;42.604723;-5.5780294;42.6047847;-5.5779361;30
286;42.6047847;-5.5779361;42.6048247;-5.5779039;30
287;42.6048247;-5.5779039;42.6048553;-5.5778794;30
288;42.6048553;-5.5778794;42.604956;-5.5778457;30
289;42.604956;-5.5778457;42.605113;-5.5779801;30
290;42.605113;-5.5779801;42.6051477;-5.5780116;30
291;42.6051477;-5.5780116;42.6052169;-5.5780745;30
292;42.6042967;-5.577298;42.6043886;-5.5773163;30
293;42.6043886;-5.5773163;42.604439;-5.5773179;30
294;42.604439;-5.5773179;42.6044861;-5.5772968;30
295;42.6044861;-5.5772968;42.6045308;-5.5772537;30
296;42.6045308;-5.5772537;42.604554;-5.5772101;30
297;42.604554;-5.5772101;42.6045638;-5.5771662;30
298;42.6042967;-5.577298;42.6045174;-5.577482;30
299;42.6045174;-5.577482;42.6046247;-5.5775683;30
300;42.6045634;-5.5771137;42.6045994;-5.5772721;30
301;42.6045994;-5.5772721;42.6046277;-5.5773841;30
302;42.6046277;-5.5773841;42.6046661;-5.5775001;30
303;42.6046661;-5.5775001;42.6047102;-5.5775976;30
304;42.6047102;-5.5775976;42.6047503;-5.5776628;30
305;42.6047503;-5.5776628;42.6047773;-5.5776926;30
306;42.6032931;-5.5796477;42.6034303;-5.5796764;30
307;42.6034303;-5.5796764;42.6036742;-5.5797466;30
308;42.6036742;-5.5797466;42.6039135;-5.5798599;30
309;42.6039135;-5.5798599;42.6042065;-5.5800507;30
310;42.6042065;-5.5800507;42.6043112;-5.5801115;30
311;42.6043112;-5.5801115;42.6043449;-5.5801389;30
312;42.6040889;-5.5771113;42.6042713;-5.5772751;30
313;42.6042713;-5.5772751;42.6042967;-5.577298;30
314;42.6020687;-5.5799776;42.601974;-5.5800287;30
315;42.601974;-5.5800287;42.6018867;-5.5800971;30
316;42.6018867;-5.5800971;42.6017874;-5.5802227;30
317;42.6017874;-5.5802227;42.6014506;-5.5807494;30
318;42.6014506;-5.5807494;42.6013504;-5.5809388;30
319;42.6020687;-5.5799776;42.6020095;-5.5799428;30
320;42.6020095;-5.5799428;42.6019616;-5.5798903;30
321;42.6019616;-5.5798903;42.601926;-5.5798197;30
322;42.601926;-5.5798197;42.601899;-5.5797386;30
323;42.613481;-5.5888786;42.6138475;-5.5892381;30
324;42.6138475;-5.5892381;42.6139773;-5.5893515;30
325;42.6131909;-5.5888246;42.6128887;-5.5885048;30
326;42.6128887;-5.5885048;42.6126555;-5.5882467;30
327;42.6128887;-5.5885048;42.6127985;-5.5885034;30
328;42.6127985;-5.5885034;42.6127486;-5.5885094;30
329;42.6127486;-5.5885094;42.6126764;-5.5885543;30
330;42.6141082;-5.5899145;42.6141047;-5.5899652;30
331;42.6141047;-5.5899652;42.6140953;-5.5901009;30
332;42.6140953;-5.5901009;42.6141914;-5.5907608;30
333;42.6141914;-5.5907608;42.6142074;-5.5908612;30
334;42.6142074;-5.5908612;42.6142091;-5.5909096;30
335;42.6142091;-5.5909096;42.6142072;-5.5909642;30
336;42.6141082;-5.5899145;42.6140724;-5.5898958;30
337;42.6140724;-5.5898958;42.614039;-5.5898679;30
338;42.614039;-5.5898679;42.6140005;-5.5898229;30
339;42.6140005;-5.5898229;42.6139784;-5.5897581;30
340;42.6139784;-5.5897581;42.6139665;-5.5896915;30
341;42.6139665;-5.5896915;42.6139767;-5.589616;30
342;42.6085761;-5.5848782;42.608675;-5.584838;30
343;42.608675;-5.584838;42.6087015;-5.5848202;30
344;42.6087015;-5.5848202;42.6087312;-5.5848001;30
345;42.6087312;-5.5848001;42.6087694;-5.5847527;30
346;42.6087694;-5.5847527;42.6092975;-5.5832771;30
347;42.6092975;-5.5832771;42.6095011;-5.5826791;30
348;42.6095011;-5.5826791;42.6096094;-5.5823682;30
349;42.6096094;-5.5823682;42.6096308;-5.5823068;30
350;42.6085761;-5.5848782;42.6086357;-5.5849428;30
351;42.6086357;-5.5849428;42.6086795;-5.5850277;30
352;42.6086795;-5.5850277;42.6087046;-5.5851211;30
353;42.6087046;-5.5851211;42.6087077;-5.5852144;30
354;42.6097411;-5.5823053;42.6097178;-5.5823677;30
355;42.6097178;-5.5823677;42.6088645;-5.5848432;30
356;42.6088645;-5.5848432;42.6088013;-5.5850265;30
357;42.6088013;-5.5850265;42.608786;-5.5850713;30
358;42.608786;-5.5850713;42.6087469;-5.5851428;30
359;42.6087469;-5.5851428;42.6087077;-5.5852144;30
360;42.6054991;-5.5818467;42.6056786;-5.5821961;30
361;42.6056786;-5.5821961;42.6058683;-5.5825292;30
362;42.6012953;-5.5746225;42.6016475;-5.5749243;30
363;42.6016475;-5.5749243;42.6016722;-5.5749471;30
364;42.6016722;-5.5749471;42.6018294;-5.5750922;30
365;42.6058683;-5.5825292;42.6063605;-5.58338;30
366;42.6063605;-5.58338;42.6064549;-5.5834925;30
367;42.6064549;-5.5834925;42.6065545;-5.5835939;30
368;42.6065545;-5.5835939;42.6066769;-5.5836947;30
369;42.6066769;-5.5836947;42.6067947;-5.5837844;30
370;42.6067947;-5.5837844;42.6070242;-5.5839343;30
371;42.5953794;-5.5748853;42.5953053;-5.5746709;30
372;42.5953053;-5.5746709;42.5950069;-5.5738231;30
373;42.5950069;-5.5738231;42.5949864;-5.5737604;30
374;42.5949864;-5.5737604;42.5949054;-5.5735129;30
375;42.5949054;-5.5735129;42.5948196;-5.5732643;30
376;42.5948196;-5.5732643;42.5947365;-5.5730236;30
377;42.5947365;-5.5730236;42.59469;-5.572889;30
378;42.5949054;-5.5735129;42.5950879;-5.5734016;30
379;42.5950879;-5.5734016;42.595183;-5.5733436;30
380;42.5923307;-5.5661227;42.5922522;-5.5662504;30
381;42.5923307;-5.5661227;42.5923534;-5.5660109;30
